id,ad_creative_body,pred_theme_sbert,gt_theme,moral_foundation,pred_theme_llms
209944034309366,"Watch Lunch With Legacy Leaders Hosted By Ann Marie Sorrell
  Join Us For A Healthy Panel Discussion on COVID-19 Updates, Vaccines, and Precautions.
  
 

  We're joined by Experts 
  Dr. Yvonne Johnson, Chief Medical Officer Baptist South
  Dr. Gail Biggs, Chief Nursing Officer Jackson Health
  Dr. Todra Anderson-Rhodes, Chief Medical Officer Memorial Hospital Miramar
  
 

  Filmed LIVE Thursday, August 5th, @ 12 Noon!",VaccineEquity,VaccineStatus,none,VaccineStatus
1.11072E+15,"Join a discussion, facilitated by AARP volunteers and members of the Little Rock Organizing Committee (LROC), around the concerns and questions you have about the COVID-19 vaccines. Following the discussion, Dr. Jennifer Dillaha will spend time addressing those concerns and answering your questions. 
  
 

  Register: https://aarp.cvent.com/Vaccines2021",VaccineMisinformation,EncourageVaccination,none,VaccineRollout
175951144351809,"Brad is the borough president we need to drive the Manhattan COVID recovery. He’s done more:
  
 

  🔵Led the fight to vaccinate New Yorkers
  🔵Cracked down on pandemic PPE price gougers 
  🔵Took on landlords to keep seniors in their homes
  🔵Secured hundreds of millions of dollars in COVID-19 relief for small businesses 
  
 

  When we elect Brad as borough president, he’ll do more.
  
 

  🔵Create good paying jobs
  🔵Provide more affordable housing for working families
  🔵Support struggling shops and small businesses 
  🔵Ensure our arts and culture not only survive but thrive
  🔵Invest in long-haul COVID-19 research
  
  Click or tap to learn more about Brad Hoylman for Manhattan Borough President >>",CommunityServiceByCandidate,CommunityServiceByCandidate,authority/subversion,CommunityServiceByCandidate
272009104590245,"NEW: We just opened additional #COVID19 vaccine appointments at Bayou City Event Center and Denver Harbor Multi-Service Center, and some slots remain open at Reed Road Parking Lot. #TakeYourBestShot to end the pandemic by registering NOW at HoustonEmergency.org/covid19. 
  
 

  #HouNews Mayor Sylvester Turner City of Houston Office of Emergency Management Curative Houston Parks - HPARD Houston Public Library City of Houston Department of Neighborhoods (DON) Go Healthy Houston",GovTrust,EncourageVaccination,none,EncourageVaccination
902762227246127,"This month, we come together to discuss the Postmaster General’s Ten Year Plan, the securing of Federal leave for COVID-related absences at the Postal Service, the renewal of COVID MOUs, Postal reform and labor rights in Congress and the countdown for bargaining on our national Collective Bargaining Agreement. (via act.tv)",CovidPlan,CovidPlan,none,CovidPlan
598516908088780,"Thousands of children have already received the vaccine, which has proven to be very safe and effective in protecting others. 
  
 

  On this week’s Road to Recovery, Bloomberg Philanthropies' Public Health Lead Dr. Kelly Henning shares what you should know as we head into the holidays.",VaccineEfficacy,VaccineEfficacy,none,VaccineEfficacy
663801927970603,"There is a lot of misinformation on social media. Many of us read misinformation without even knowing it! This is why it is important to question what you read online, especially when the information relates to COVID-19 vaccines.
  
 

  When you read a fact about COVID-19 vaccines online, you should question (1) the person posting the fact, and (2) the reliability of the fact itself. Consider the user's training and previous social media posts. If the user is trained in public health or infectious disease, they may be trustworthy. If they frequently post questionable facts about other topics, they may *not* be trustworthy. If the fact you found cannot be confirmed by multiple other sources, it may not be a trustworthy piece of information.
  
 

  Look for trustworthy sources, like public health professionals and organizations, for information about the COVID-19 vaccine. And as always, if you have personal health concerns, talk to your doctor.
  
 

  How do you find trustworthy information online?",VaccineMisinformation,VaccineMisinformation,none,VaccineMisinformation
3.26097E+15,"The FDA authorized COVID-19 vaccine is safe, free, and widely available across the county. You don’t even need an appointment at most locations. Visit VaxOKC.com for more information and to find the location closest to you. Choose today.",VaccineDevelopment,VaccineEfficacy,none,EncourageVaccination
558511588455839,CRS is set to support access to the COVID-19 vaccines to people already impacted by crisis and in places where there are very few options for those who become infected. But we need your help this Lenten season to ensure vaccine access to vulnerable communities globally.,VaccineEquity,VaccineEquity,fairness/cheating,VaccineEquity
2.19386E+15,"⛔ Florida’s Republican governor, Ron DeSantis, has prioritized advancing his political ambitions over saving people’s lives. Florida’s health crisis is intensifying, with over 50,000 people in the state dead from COVID, deaths climbing each day, and the state’s hospitals overwhelmed. 
  
 

  Meanwhile, DeSantis sticks to bans on mask and vaccine mandates and downplaying vaccines’ effectiveness to score right-wing political points. But recent polls show more and more Floridians oppose DeSantis’ actions. Keep the pressure on: Tell DeSantis not to gamble with people’s lives for his political ambitions.Text MASK to 668366 to sign our petition pressing DeSantis to institute mask mandates and other public health safeguards and help save lives.",VaccineMandate,UrgentPoliticalAdvocacy,authority/subversion,UrgentPoliticalAdvocacy
676114293352901,"Despite massive investments from taxpayers, Big Pharma is spending billions to convince lawmakers in the richest countries to put their patents and profits before human lives. Contact your Members of Congress and ask them to push President Biden to ensure our allies support a fair and comprehensive TRIPS waiver for COVID-19 vaccines. The U.S. must lead the fight to #FreeTheVaccine and make it available to everyone so we can finally end this pandemic. https://indivisible.org/tell-house-push-president-biden-lead-passing-trips-waiver-now",VaccineEquity,VaccineEquity,fairness/cheating,VaccineEquity
188810559850779,"How do I book an appointment? Should I still be getting tested? What else have we learned about the vaccine? Join us on April 29 and ask us questions you may have about COVID19. The New York Immigration Coalition will be presenting on the various types of vaccination sites, what to do before and after your appointment, and how to identify and report any appointment scams.",CovidPlan,EncourageVaccination,none,EncourageVaccination
873599816535163,"Albany County Covid-19 Vaccine 💉 Pre-Registration Link ⬇️ 
  
 

  https://alb.518c19.com/ 
  
 

  ✅ The quicker shots can get in arms, the sooner we can get this pandemic behind us 
  
 

  ✅ Should anyone have any questions, please feel free to reach out, as many of you continue to do.",CovidPlan,EncourageVaccination,none,EncourageVaccination
276227907600125,"Centuries of neglect and bias has left modern medicine with a serious research gap when it comes to women’s health. Now, anti-vaccine groups are taking full advantage of the gender bias in medicine to stir up paranoia and push false narratives about vaccines and women’s health. In our latest Stronger 101, we break down the history of these inequities, the progress being made to overcome them, and what we really know about how the COVID-19 vaccines may or may not impact menstruation.",VaccineMisinformation,VaccineMisinformation,fairness/cheating,VaccineMisinformation
780911625948322,"Hey South Florida, you’re right to ask questions about the COVID-19 vaccine!
  
 

  It’s understandable if you feel mistrust about the COVID-19 vaccine. And it’s smart to ask questions. Because getting informed is the key to protecting yourself and your loved ones from the risks of coronavirus. It’s also the first step to getting our lives back, along with all those special moments we’ve been missing out on.
  
 

  For more information or answers to your COVID-19 vaccine questions, visit: http://ididitSFL.com",VaccineEfficacy,EncourageVaccination,loyalty/betrayal,EncourageVaccination
279050737179520,HOKE COUNTY SCHOOL BOARD CALLED COVID POLICY MEETING https://youtu.be/lvQOixU5E3c ( this board unanimously approved mandatory masking for all staff and students indoors no matter vaccine status ) NOT ONE OF THEM voted against. WAKE UP PEOPLE! we need folks to run for school board!!,CommunityServiceByCandidate,MaskMandate,authority/subversion,MaskMandate
272645524778175,"🚨VACCINE PASSPORTS ALERT🚨
  
 

  Help us REJECT this UNCONSTITUTIONAL vaccine passport. Add YOUR name to the petition!",VaccineMandate,VaccineMandate,liberty/oppression,VaccineMandate
341035477685846,"Vaccines are how we can control and defeat #COVID19 and I'm proud to share that our all-star Division of Health as well as our religious and civic partners have helped us work a miracle with at least one shot of the vaccine in 76 percent of the adult population.
  
 

  We hope to inspire suburbs like Little Falls (57%) and Garfield (60%) as well as other urban areas like Newark (64%), Irvington (53%) and East Orange (53%). #InThisTogether",GovTrust,EncourageVaccination,none,EncourageVaccination
469977280746776,"𝗗𝗼 𝘆𝗼𝘂𝗿 𝗽𝗮𝗿𝘁 𝘁𝗼 𝗵𝗲𝗹𝗽 𝗱𝗲𝗳𝗲𝗮𝘁 𝘁𝗵𝗲 𝘃𝗶𝗿𝘂𝘀
  
 

  More than 60% of American adults have received their first #COVID19 vaccine. Help defeat this virus so we can get back to spending time with the ones we love.
  🔎Search http://vaccines.gov
  💬Text your ZIP code to 438829
  📞Call 1-800-232-0233
  Make the best decisions to protect you, your family, and your community. Talk with your health care provider – or Call Us at (818) 963-5690 - to get the facts about COVID-19 vaccines.
  #WeCanDoThis
  #covid-19 #covidvaccine #findashot #moderna #pfizer #getanappointment #getthefacts #getvaxxed #vaxxday #vaccineappointment #getthevaccine #sanfernando #losangeles #california",VaccineEquity,EncourageVaccination,loyalty/betrayal,EncourageVaccination
871121490494925,"Introducing the #WhyIGotIt contest!
  To enter:
  1. Post an image to your feed or stories with a caption between 1-10 sentences that describes why you got your COVID-19 vaccine. Images can include anything that is relevant to your reason for getting the shot. It can be of you getting the shot, you with the bandage, you with one or more loved ones, or a location you hope to visit after vaccination. Your post or story must include the hashtag #WhyIGotIt.
  2. Image must be a still image that you own, posted to your Instagram feed or stories.
  3. If the image contains other people, you must be able to obtain permission from them to use their image in this contest if selected as a winner.
  4. Tag @blueshieldofca in your post or story. Follow @blueshieldofca. 
  5. Tag two friends in the comments section of the post above
  6. This contest or giveaway is not sponsored, endorsed or administered by, or associated with Instagram in any way.
  7. Contest is open from July 26 - August 20.
  8. Contest is restricted to participants residing in California, who are above 18 years of age. Additional restrictions apply. See the full contest rules in our link in bio for more details.
  9. Limit one (1) entry per entrant during the Contest Period.
  10. Five winners will be chosen and notified by DM no later than August 27, 2021.
  
 

  Full legal rules are outlined at the link in bio. #WeNeverStop",EncourageVaccination,EncourageVaccination,none,EncourageVaccination
193383069315990,"Victoria Events with Caleb Shaw, Sn 2 Ep. 15 - Victoria County, TX Judge Ben Zeller, Golden Crescent Regional Planning Commission, Museum of the Coastal Bend - Victoria, TX
  
 

  Victoria County, TX Judge Ben Zeller stops by to give an update on the status the Biden border policies are having on Victoria County, TX. Additionally, we touch on the new Covid policies in effect.
  
 

  Angelique Rodriguez, with the Golden Crescent Regional Planning Commission, educates us on the Covid relief grant funds they have available to help seniors and disabled people in need. She gives us the contact info and some upcoming clinic dates, so don't miss out.
  
 

  Our buddy, Greg Garrett with the Museum of the Coastal Bend - Victoria, TX, swings by with all the details for their exciting upcoming summer programs. This summer is The Pictures On My Wall - Pre-K Programming, ages 2 - 5, starting Jun 1st, to participate in an interactive reading experience! They will listen to and participate in a reading of Mordicai Gerstein’s “The First Drawing.” Kids also will create their own cave art to be displayed in the museum along with the “No Stone Unturned” exhibit. Your Pre-K student will take a prehistoric trip through their own imaginations!
  
 

  Also this summer is Mammoth Hunters Summer Camp, Grades 4-7. The Mammoth Hunters Summer Camp will turn your child into a prehistoric mammoth hunter. Activities that explore climate, geology, ecology and historical lifeways will introduce the culture and civilization of early peoples that called the Coastal Bend region home. Camp will be held June 21 - 25, 9 a.m. - 12 noon each day. Advance registration required by Tuesday, June 1. Maximum 10 participants. Register at the museum's online payment portal. For information, call Gregory Garrett, Museum Experience Educator at (361) 582-2559 or email Gregory.Garrett@VictoriaCollege.edu. $75 tuition fee per student includes all supplies and Friday pizza lunch.
  
 

  Sponsored in part by Traci Green Mortgage Professional, Wallick & Volk
  
 

  IGTV: www.instagram.com/meet.victoria/
  YouTube: www.youtube.com/channel/UCSwSP10lgxanaK_fDUyzeIg
  
 

  Instagram:
  @shawrealty @calebishaw @meet.victoria @calebshaw_realtor @iamthesteveo @museumofthecoastalbend
  
 

  #TeamShaw #Victoriatx #MeetVictoria #MeetVictoriawithCalebShaw #VictoriaEvents #Victoria #victoriatexas #local #travelchannel #localbusiness #calebshaw #volunteer #shawrealty #homesforheroes #txrealestatebroker #countyjudge #Border #immigration #covidgrants",VaccineEquity,CovidPlan,care/harm,CovidPlan
