id,ad_creative_body,gt_theme,stance,funding_entity,pred_theme_sbert,pred_theme_llms
898613957487259,"Wow. Last year, the oceans absorbed heat equivalent to seven Hiroshima atomic bombs detonating each second, 24 hours a day, 365 days a year, says one scientist.
  Read more: https://bit.ly/3qou7V8",Environmental,1,Resource Media,Environmental,Environmental
378443590299501,"A news study by the National Academy of Sciences reports that climate change may put one-third of species at risk of extinction in the next 50 years. Climate change threatens to drastically change all ecosystems. Learn how we can help the natural world and avoid the most catastrophic impacts of climate change. #MCECares
  https://www.mcecleanenergy.org/news/mce-cares-climate-change-and-the-natural-world/?utm_source=social&utm_medium=fbboost&utm_campaign=climatechangeandthenaturalworld",Animals,1,MCE,Animals,Animals
299004951704819,"In a world threatened by mass nature loss, conservation makes it easier for local populations to survive the extremes that ecological disruption brings, underscoring the importance of #NaturalSecurity.",Animals,1,Natural Security,Animals,Animals
614738906502683,"The solar industry is on a roll! Here in the United States, we connected 2.4 GW of solar power to the grid in the 3rd quarter of 2021–a whopping 46 percent increase from the same time last year. Not only do new power sources help keep our grid more reliable, but new solar projects also help create jobs, contribute tax dollars to host communities, and provide lease payments to landowners. Read more:",CustomerBasedAltEnergy,1,Chipmunk Solar Project,AltEnergy,CustomerBasedAltEnergy
934854000730093,"New technologies are driving America toward a future of more clean, renewable energy, including electric vehicles, offshore wind power and solar and geothermal power.",AltEnergy,1,Oklahomans For Energy Options,AltEnergy,AltEnergy
527892984917799,"Solar has the power to transform local industry supply chains. #Renewables
  
  
 

  https://wapo.st/3b1FElb",AltEnergy,1,Resource Media,AltEnergy,AltEnergy
578270876810082,This is our best shot. Congress has a real chance to enact enduring policies to address root causes of climate change in the Build Back Better Act. Learn more about why this is the moment to act on climate.,SupportClimatePolicy,1,Nature Conservancy,SupportClimatePolicy,SupportClimatePolicy
1069952817096150,"Rep. Kathleen Rice is one of the last few Democrats obstructing the Build Back Better Act, which will invest in climate solutions, care for those who need it, jobs and justice—all paid for by making the tax code fairer.
  
  
 

  Passing the full Build Back Better Act is how we deliver on what 81 million Americans who put Democrats in office voted for. With a radicalized authoritarian white nationalist right aiming to retake power, with climate chaos looming, and with worsening inequality, Democrats must demonstrate that the government can work before it’s too late.
  
  
 

  Will you call Rep. Kathleen Rice right now (516-739-3008) and ask her to pass the Build Back Better Act TODAY? No more obstruction! No more delay.",SupportClimatePolicy,1,Green New Deal Network,SupportClimatePolicy,SupportClimatePolicy
527392205002780,We need action from our elected officials to create policies that help reverse the worst impacts of climate change.,SupportClimatePolicy,1,Healthy Air and Water Colorado,SupportClimatePolicy,SupportClimatePolicy
965476467403293,Many financial firms have absolutely no chill. Divest from Big Oil and protect the planet by moving your money to Aspiration. Each dollar deposited helps to avoid CO₂ emissions that come from industries that hurt people and the environment. #emissions #esg #divest #co2neutral #carbonemissions #bigoil #deposits #sustainability #oceanplastic #recycledplastic,PoliticalAffiliation,1,Aspiration,PoliticalAffiliation,Environmental
365696638418763,"For decades, fossil fuel companies have lied to the public, to regulators, and to Congress about the true danger posed by their products. The recent tape revealing Exxon’s lobbying practices only proves the industry’s disinformation campaign is alive and well. 
  
  That's why Ro is now demanding documents and testimony from the world’s most powerful fossil fuel companies, which have resisted Congressional oversight in the past. We need to show the fossil fuel industry – and the politicians they’re lobbying – that we’re with Ro and we demand answers.
  
  Add your name to show you’re with Ro in this urgent fight against climate denialism and corruption!",PoliticalAffiliation,1,RO FOR CONGRESS INC,SupportClimatePolicy,PoliticalAffiliation
788358921879809,"Everywhere you turn in 2021, the environmentalists are pushing to limit fossil fuels or decarbonize the economy. At first blush that would seem bad for the energy sector, but it appears just the reverse as the price of Brent and WTi continue to steadily climb to their highest prices since 2018. Why? The elite have had more success in curtailing production than they have had in curtailing demand which is improving with an improving economy. 
  
  
 

  Watch the headlines, activists Larry Fink and Black Rock supported a new hedge fund’s effort to unseat two Exxon board members sighting Environmental, Social & Corporate Governance (ESG) guidelines to reduce Exxon’s slow action in reducing emissions. Across the Atlantic, European oil giants are reducing major drilling plans to curry favor with ESG advocates.  
  
  
 

  The goal of many of these activists is the de-carbonization of the U.S. and world economies. But action is not limited to just one side of this confrontation. 15 State Treasurers sent a letter last week to the Biden Climate Envoy John Kerry expressing concern with recent hostile actions towards the Oil and Gas industry.",AgainstClimatePolicy,0,Bigger Pie Forum,PoliticalAffiliation,AgainstClimatePolicy
1338905759864920,"In one year of Joe Biden being in charge, Joe and liberal accomplices like Matt Cartwright have stumbled from disaster to disaster. Gas prices are surging, record high inflation, crime wave, botched Afghanistan withdrawal, southern border crisis, and Joe Biden can’t even figure out how to get Covid tests in stores. This is life in Biden/Harris/Cartwright’s America. But big change is coming in 2022! Join my campaign to SAVE AMERICA today!",BidenGasPriceIncrease,0,BOGNET FOR CONGRESS,BidenGasPriceIncrease,BidenGasPriceIncrease
300939088614021,"Lucas Kunce here — I’m the 13-year Marine veteran and Democrat running to flip the open U.S. Senate seat in Missouri. You’ve probably heard that Senator Joe Manchin just announced he’s a “NO” vote on Build Back Better, the huge investment into the American people that our nation desperately needs. I’ll let you in on a little secret: I’m nothing like Joe Manchin.
  
  
 

  Our campaign is building a movement funded entirely by grassroots donors – we don’t accept a penny from the corporate PAcs, fossil fuel executives, or pharmaceutical cartels that prop up folks like Manchin. And guess what? Last quarter, we outraised everyone else in the field, including the Republican candidates. That’s the power of our grassroots movement. 
  
  
 

  But we’re coming up on our biggest FEC fundraising deadline yet on December 31 at midnight, and we need your help to fight back against the corporate mega-donors trying to stop our momentum. Can you chip in right now before the federal deadline? Any amount helps.",AgainstCorporateInterests,1,Lucas Kunce for Missouri,AgainstCorporateInterests,AgainstCorporateInterests
452052722776936,"The progressive movement is about building power in the Halls of Congress without giving into corporate influence or monied interests. While electing Democrats helps us build the coalitions we need to pass critical legislation, it is clear that what this moment calls for is bold, progressive leadership.
  
  
 

  Erica Smith has been fighting for North Carolinians for the past five years and is running for Senate to help build progressive power to tackle the most pressing policy issues for working people. A $15 federal minimum wage, a Green New Deal, Medicare for All — these transformative policies are only possible if we are able to continue to elect candidates determined to fight for people, not corporate profits.
  
  
 

  Will you help power our campaign and make a $5 contribution today? We don’t take a dime from corporate super PACs and rely on grassroots supporters like you.",AgainstCorporateInterests,1,Erica for US,AgainstCorporateInterests,AgainstCorporateInterests
3000855256819970,"Erica Smith speaks a powerful truth.
  
  
 

  We cannot allow for injustice to go unnoticed and unresolved. We cannot let the memories of George Floyd and Breonna Taylor and Ahmaud Arbery fade into history. We must stand up and raise our voices to fight hate in all its forms. 
  
  
 

  Erica is running for the US Senate for this cause — to put a spotlight on the ways our system treats people differently and to center racial equity in our laws. She knows that every issue — from climate change to housing to education — is also a matter of racial justice. And by electing Erica Smith, there will always be a voice in the room to center this cause.
  
  
 

  We are building a grassroots campaign of people who know that there is a better way to do politics. If you are able, can you chip in $5 or $10 today to become a part of this moral movement?",AgainstCorporateInterests,1,Erica for US,AgainstCorporateInterests,AgainstCorporateInterests
1019683475426880,"Illinois drivers shoulder the 2nd-highest gas tax burden in the U.S. – but lawmakers in Springfield want to give local governments across the state more power to raise gas taxes.
  
  
 

  Gov. Pritzker already doubled the state’s gas tax in 2019. With inflation eating into household budgets nationwide, Illinoisans have suffered enough.
  
  
 

  Sign our petition to stop Springfield from enabling more gas tax hikes on Illinois drivers.",GasTax,0,Illinois Policy,GasTax,GasTax
1003534373526400,"The Kane County Board wants to raise YOUR gas taxes! Gas taxes in Illinois are the third highest in the nation. Call your Kane County Board member and urge a ""NO"" vote on the proposed 2 cent per gallon gas tax.",GasTax,0,Motorists for Fair Taxes,GasTax,GasTax
803981753571076,"Sales tax, gas tax, income tax, property tax… are there too many taxes? Let Team Steel know if you think Californians are taxed too much! Take 30 seconds to complete our official survey and share your thoughts →",GasTax,0,Michelle Steel for Congress,GasTax,GasTax
534170474670161,"Let us plant trees for you all over the world. For just a small monthly fee we’ll plant trees to:
  - Help slow down climate change
  - Reduce carbon dioxide and other greenhouse gases
  - Replenish our diminishing forests
  - All for a small monthly fee
  - Plant 1 tree a month $3
  - 3 trees a month $7
  - 5 trees a month $10",Deforestation,1,Trees To Globe,Deforestation,Carbon
448448950295521,"Take action to restore protections to Alaska's Tongass National Forest. Next Monday, January 24th is the deadline to submit a comment in support of restoring the Roadless Rule, which would protect over 9 million acres of the Tongass National Forest from clearcut logging and industrial development. 
  
  
 

  Soaring old growth spruce, hemlock and cedar trees in the Tongass provide critical habitat, local jobs, traditional lifestyle opportunities, recreational opportunities and help alleviate the effects of climate change — and have been home to Alaska Native peoples since time immemorial.
  
  
 

  This is an opportunity for YOU to weigh in on Southeast Alaska's future. Sign on and send a letter urging the Forest Service to restore Roadless protections now: www.salmonstate.org/tongass
  
  Image credit: Pat Race",Deforestation,1,SalmonState,Deforestation,Deforestation
801241783911690,"We're One Tree Planted, and we're making it easy to plant trees around the world for the community, biodiversity, and the environment! Join our ecosystem by planting a tree for $1 today 🌲🌏",Deforestation,1,One Tree Planted,Deforestation,Deforestation
395636935688146,"This holiday season, reduce your home's carbon footprint with energy-efficient lights and other carbon-reducing measures.",Carbon,1,Carbonfund.org Foundation,Carbon,Carbon
851367095491283,Find YOUR Personal Carbon Footprint...FREE,Carbon,1,8 Billion Trees,Carbon,Carbon
324931325762489,"This World Environment Day reminds us of the importance of building a sustainable future. The cement and concrete industry is committed to achieving carbon neutrality by 2050. 
  
  
 

  Learn more about how we can achieve this goal at shapedbyconcrete.com",Carbon,1,Portland Cement Association,Carbon,Carbon
959634521448874,Georgia’s nuclear energy projects at Plant Vogtle will provide reliable power and support thousands of clean energy jobs. Join us and show your support.,CustomerBasedAltEnergy,1,Nuclear Matters,CustomerBasedAltEnergy,CustomerBasedAltEnergy
3848679431877140,Our mission is to build a commercial wind farm to source clean energy for our people at Standing Rock for generations into the future — and we need your support!,AltEnergy,1,Standing Rock Renewable Energy Power Authority,CustomerBasedAltEnergy,AltEnergy
2034516933402190,We're lucky in Iowa. Our wind industry generates nearly 60% of all energy we use as of December 2020.,CustomerBasedAltEnergy,1,270 Strategies,CustomerBasedAltEnergy,CustomerBasedAltEnergy
514637679910308,"Did you know that the global food system is a large contributor to the climate crisis? Black and Brown people fuel our food system by growing fresh produce, yet their neighborhoods have less access to healthy foods and bear the brunt of climate change. Food justice and food sovereignty are an essential part of creating healthy, thriving communities. Frontline communities around the nation are reclaiming their rights to land and capital to feed their communities and build local food systems. #NationalGardeningDay #FoodJustice #ClimateJustice",FoodSecurity,1,"PARTNERSHIP FOR WORKING FAMILIES, THE",FoodSecurity,FoodSecurity
308144960852187,"Do you believe that food security is solvable? 
  
  
 

  Food security is not just a Michigan challenge, it is a global one. Global estimates state that by 2050, there will be 9.7 billion people in the world, and we will require approximately 70% more food than what we consume now. The SOLUTION to meet these needs requires a cross-sector approach with an emphasis on food loss and waste; including analyzing consumption of food purchased and distributed, and agriculture productivity with metrics of the impact on global climate and the environment. 
  
  
 

  There is NO other way; the challenge both locally and globally is too big to overcome without cross-sector collaboration.  
  
  
 

  This week on Food First Michigan Dr. Phil Knight and Gerry Brisson, president and CEO of Gleaners Community Food Bank, are accompanied by scientist, author, NPR podcast host of “Serving up Science” and instiller of positive change, Sheril Kirshenbaum. Tune in this evening at 9:00 PM on WJR Radio or NewsTalk 760 AM. Sheril’s work focuses on addressing food security challenges while looking at how climate change impacts food availability. To hear more about the work, be sure to watch “Power Trip: The Story of Energy” on PBS {https://amzn.to/3qJIbG8}.
  
  
 

  Be mindful of our future. 
  
  
 

  We are not doing enough in terms of how we produce and use food. However, there is hope. There are signs that technologies and attitudes are evolving to address these challenges, which warrants optimism for where food is headed. The challenges we face, though daunting, should not prevent us from optimism for the future! 
  
  
 

  The Michigan food bank network’s challenge is to CREATE positive change in the world of the families who deal with the toxic stress of food insecurity. More people are rallying around the cause, and we are gaining momentum to overcome this challenge. Join us by keeping #FOODFIRST! 
  
  
 

  Find this episode and all past Food First Michigan episodes at foodfirstmi.org, on Apple Podcasts, or iHeartRadio. 
  Apple Podcasts --> https://apple.co/38UUpFk
  iHeartRadio --> https://ihr.fm/38WJ2wN
  
  
 

  #FoodFirstMI 
  #FoodSecurity 
  #MoreFoodMoreOften2MorePeople 
  #FoodFirst",FoodSecurity,1,FOOD BANK COUNCIL OF MICHIGAN INC,FoodSecurity,FoodSecurity
133435802303049,"When you are hungry, you only have one problem. Once hunger comes off the table and is replaced with hope, families can focus on the next opportunity in their lives. 
  
  
 

  Max Finberg, president and CEO of Growing Hope Globally, joins Gerry Brisson, president and CEO of Gleaners Community Food Bank, and Dr. Phil Knight this weekend on Food First Michigan. Tune in this evening at 9:00 PM on WJR Radio or NewsTalk 760 AM for the inspirational conversation on food and HOPE! Or, listen here ➡️ http://ow.ly/do5250FQITz.
  
  
 

  Max is a leader who understands the power and significance of food. Growing Hope Globally works with farmers in the United States to serve and support farmers overseas. Their mission is to “link the grassroots energy and commitment of rural communities in the U.S. with the capability and desire of smallholder farmers in developing countries to grow lasting solutions to hunger.” Like the Michigan food bank network, Growing Hope Globally engages communities in the pursuit of food security and believes that hunger can be solved. 
  
  
 

  Recognizing the power of the food first concept changes the dynamics for all social programming. It makes food a priority. The impact of putting food first will be experienced through positive outcomes in education, healthcare, and workforce development. 
  
  
 

  Find this episode and all past Food First Michigan episodes at foodfirstmi.org, on Apple Podcasts or iHeartRadio. 
  Apple Podcasts ➡️ https://apple.co/38UUpFk
  iHeartRadio ➡️ http://ow.ly/8ARe50FQITP
  
  
 

  #FoodFirst
  #FoodFirstMI
  #FoodSecurity
  #MoreFoodMoreOften2MorePeople",FoodSecurity,1,FOOD BANK COUNCIL OF MICHIGAN INC,FoodSecurity,FoodSecurity
494317974909761,"Texas' diverse energy mix of clean energy and natural gas help to support local economies reliant on agriculture and energy. Where energy projects are developed, landowners benefit directly from lease payments, school districts and local governments benefit from a new source of tax revenue, and local workers benefit from job opportunities that are often difficult to find in rural America. 
  
  
 

  Follow the Texas Power Alliance for more updates on Texas energy!",Economy_pro,0,The Advanced Power Alliance,Economy_pro,Economy_pro
1752857518247590,Raising taxes on the U.S. natural gas and oil industry could put our economic recovery at risk! Call Rep. Matt Cartwright at 570-341-1050 and tell them: new taxes on U.S. energy is a BAD idea!,Economy_pro,0,AMERICAN PETROLEUM INSTITUTE,AgainstClimatePolicy,Economy_pro
974937633240543,We’re committed to eliminating all carbon emissions from our power supply by 2030 to do our part in making our air quality better. Every customer we serve will be part of our #CleanPowerCity movement. Learn more and #JoinTheCharge at CleanPowerCity.org,ClimateSolution,1,Sacramento Municipal Utility District,ClimateSolution,Carbon
352426506715906,"Together, renewables and natural gas are accelerating the clean energy future! Click below to learn more.",ClimateSolution,0,"Natural Allies, Inc.",ClimateSolution,ClimateSolution
904943773410230,"Customer energy efficiency, renewable natural gas, & advanced leak detection have resulted in carbon emissions reductions of over 3.2 million metric tons (CO2e) - the equivalent of removing more than 700K cars off the road for an entire year! socalgas.com/mission #EarthMonth",ClimateSolution,0,Southern California Gas Company,ClimateSolution,Carbon
747291209998281,"With the Department of Energy projecting that petroleum will remain the world's top source of energy through at least 2050, oil and natural gas careers will remain well-paying and in demand for many years to come. Find out more in IPRB's latest video.",Pragmatism,0,ILLINOIS PETROLEUM RESOURCES BOARD,Pragmatism,Pragmatism
374062770946336,"Did you know that in all World Energy Outlook scenarios, demand for natural gas is predicted to increase over the next decade? Learn more about how natural gas complements renewable generation at: https://bit.ly/2UWXDop",ClimateSolution,0,Power in Cooperation,ClimateSolution,ClimateSolution
558615575413471,"As the U.S. continues its economic recovery, the natural gas and oil industry remains our most reliable choice for affordable fuels. By responsibly producing our homegrown resources, we can strengthen America’s energy future.",Economy_pro,0,The American Petroleum Institute,AgainstClimatePolicy,Economy_pro
1596430764048490,"California already imports 70% of the oil we use. A local oil & gas shutdown would force California to import even more of the oil we use, raising gas prices and increasing our dependence on unstable foreign oil.",Patriotism,0,Californians for Energy Independence,Patriotism,Patriotism
308972880851459,"Six months ago, America was energy-independent - we've gone from being the number one exporter of oil to actual gas shortages. Inflation is surging, increasing the cost of living for American families, and despite a record number of job openings, unemployment is rising. Our ally Israel is under attack from terror groups that benefit from American taxpayers, and the Biden Border Crisis remains unresolved. 
  
  
 

  Unlike Washington, DC, we do things differently in the Texas Legislature. We understand and value the importance of the oil and gas industry, we worked to keep the cost of doing business low, made it easier for companies to hire workers, support our ally and friend Israel, and invested in securing our border. While DC is failing, Texas is leading.
  
  
 

  https://fxn.ws/3eHqRP1",AgainstClimatePolicy,0,Tan Parker Campaign,AgainstClimatePolicy,AgainstClimatePolicy
321706399393904,Rep. Malinowski wants to strengthen America's economy with millions of good-paying clean energy jobs - to recover now and build for the future.,Economy_clean,1,"LEAGUE OF CONSERVATION VOTERS, INC",Economy_clean,Economy_clean
965729544280097,Rep. Cartwright wants to strengthen America's economy with millions of good-paying clean energy jobs - to recover now and build for the future.,Economy_clean,1,"LEAGUE OF CONSERVATION VOTERS, INC",Economy_clean,Economy_clean
230009049225010,"Extreme climate conditions in Somalia have left the country in one of the most prolonged humanitarian crises in the world, impacting vulnerable people the most. 
  
  
 

  Help us respond to the health and humanitarian impacts of climate change, wherever it’s needed most. Donate now >>",HumanHealth,1,Doctors Without Borders/Médecins Sans Frontières (MSF),HumanHealth,HumanHealth
185869907034641,"Healthcare professionals call on leaders to act on climate. We see the direct link between climate change, poor air quality and poor water quality and the health of our children and communities, and we're coming together to urge our leaders to act now on climate.",HumanHealth,1,"Alliance of Nurses for Healthy Environments, Inc",Environmental,HumanHealth
291743692312457,"Let's bring climate change education to a K-12 classroom near you! 🌍🍎✏️
  
  
 

  Introducing Climate Change Essentials for All Educators, is a nine-week, virtual course that equips K-12 teachers to incorporate climate change education into their current curriculum—regardless of subject area, grade level, or state standards.  
  
  
 

  Our vision is that all students leave high school with essential knowledge of climate change and what they can do to address it. Are there educators in your network who are looking to empower young learners around climate change AND earn up to 60 professional development hours? If so, send them our way! Generous scholarships are available, and you can also sponsor teachers to take the course. 
  
  
 

  Spots are filling up quickly for the course, so please act soon! Visit the link in our bio to learn more about the program and see how you can support climate change education.",FutureGeneration,1,Presidio Graduate School,FutureGeneration,FutureGeneration
915623452555215,"This is our moment to “Go Bold!” and set a path toward a cleaner, safer, healthier world that will protect our families and future generations from the most severe consequences of climate change.",FutureGeneration,1,Environmental Defense Fund,Environmental,FutureGeneration
168392765344202,"This long-running dry stretch rivals anything we've seen in the last 1,200 years. As drought takes hold, let's be prepared. https://on.natgeo.com/3urb5fR",Environmental,1,Resource Media,Environmental,Deforestation
522099408979020,"The world’s oceans broke heat records again in 2021. 🌊 🔥 
  Learn more on what this means: https://bit.ly/33lpKS2",Environmental,1,Resource Media,Environmental,Environmental
282166997113420,"In North Carolina, the costs of severe weather events surged from $590 million in 1980 to $1.7 billion last year. Climate change is driving more frequent and stronger storms -- and it will only get worse without urgent action to limit climate-warming pollution. https://bit.ly/3h7JXyo",Environmental,1,Environmental Defense Fund,Environmental,Environmental
459683908842953,"Thank you, Representative Upton, for investing in climate and clean energy solutions to protect birds by addressing the threat of climate change. We still have more work to do, but this is an important step toward tackling both the causes of and the consequences from climate change.",Animals,1,National Audubon Society Action Fund,Animals,Animals
737479120543228,"We are on track to lose all globally significant wild areas in less than a century.
  
  
 

  This loss of nature affects our sources of clean air and water and hinders our ability to fight climate change. We want to hear from you: Should the U.S. protect more wild places?",Environmental,1,"WILDERNESS SOCIETY, THE",Animals,Environmental
436510507500563,The UN’s new climate report shows that the pace of global warming is moving much faster than most people thought. This echoes what birds have been telling us: It’s time to act on climate. Birds’ survival—and our own—depends on us working together. Join Audubon as a monthly donor and we’ll match your first three gifts.,Animals,1,"NATIONAL AUDUBON SOCIETY, INC.",Animals,Animals
936851006923666,"The low cost of installation and maintenance makes renewable energy sources like solar some of the most affordable energy sources on the market, with or without subsidies. More and more solar is being built because it makes sense economically. In fact, building a new solar installation is usually less expensive than building a conventional plant to produce the same amount of power.",AltEnergy,1,Elkhart County Solar Project,AltEnergy,AltEnergy
228664039024107,"100% Renewable Energy Targets Are Beneficial, But 24/7 Carbon-Free Energy is Transformational.",AltEnergy,1,AES,AltEnergy,AltEnergy
3190388341283610,"Utility-scale solar power contributes energy to American households and businesses–enough to power 12 million homes–but it also provides the tools needed to build up rural communities. The solar industry supports more than 230,000 jobs in all 50 states and accounts for $865 million in tax dollars and land lease payments annually. More jobs and more tax dollars translate to more opportunities for rural Americans.",CustomerBasedAltEnergy,1,Elkhart County Solar Project,CustomerBasedAltEnergy,CustomerBasedAltEnergy
995214924660354,"When it comes to tackling climate change, 90% of Americans agree mega-polluters should pay their fair share.",SupportClimatePolicy,1,WINDWARD FUND,SupportClimatePolicy,PoliticalAffiliation
888064221877411,"Huge news: The House just voted to pass the Build Back Better Act!
  
  
 

  Thank you, Rep. O'Halleran, for putting Arizona's working families first by voting to create clean energy jobs right here and take on climate change right now.",SupportClimatePolicy,1,"LEAGUE OF CONSERVATION VOTERS, INC",SupportClimatePolicy,SupportClimatePolicy
3012073695705510,"GOP politicians like Mitch McConnell and Ted Cruz have taken millions in fossil fuel donations, so it’s no surprise that they’re fighting bold climate action in Congress. Sign on to fight back against fossil fuel favorites.",PoliticalAffiliation,1,Evergreen Action,PoliticalAffiliation,AgainstCorporateInterests
